x,sum,sub,tot,tot-op
-8,0.32266404,0.19974441,0.33495600,0.19359842
-7,0.39948881,0.24583927,0.42099975,0.23969329
-6,0.48245957,0.28578815,0.49782452,0.27964217
-5,0.56543032,0.31344507,0.57157630,0.30729909
-4,0.63303612,0.31344507,0.64532808,0.31037208
-3,0.67913098,0.27964217,0.69142294,0.27349619
-2,0.70678790,0.20281740,0.71600687,0.19974441
-1,0.71600687,0.08911673,0.72522584,0.09218973
0,0.71907986,-0.03072991,0.72829883,-0.02458393
1,0.70986089,-0.15057655,0.72522584,-0.14443057
2,0.69756893,-0.24891226,0.70986089,-0.23969329
3,0.66376603,-0.30729909,0.67298500,-0.30422610
4,0.60845219,-0.33188301,0.62074415,-0.32881002
5,0.53162742,-0.31651806,0.54699237,-0.31651806
6,0.44865667,-0.27656918,0.46094863,-0.28271516
7,0.36875890,-0.23354731,0.37490488,-0.23969329
8,0.29808011,-0.19359842,0.30729909,-0.19359842
